,Gender,Race,Age,County,Current Facility,Offense Code,TDCJ Offense,Sentence (Years),Last Parole Decision,Parole Review Status,Parole Eligibility (Years),Sentence Left (Years)
2,1,6,85,55,92,11220000,1087,999.0,0,0,-18,999
3,1,2,84,173,71,9150000,7178,999.0,0,0,-15,999
5,1,1,83,204,9,11990003,1380,20.0,0,0,-8,2
6,1,6,84,99,86,9130000,3487,999.0,0,1,-40,999
8,1,2,82,218,26,36120005,4952,20.0,0,0,-16,2
12,1,2,80,99,0,9130000,3487,999.0,0,0,-39,999
13,1,1,80,120,71,9990019,7143,30.0,0,1,-4,11
14,1,2,81,173,54,36140000,5927,55.0,0,0,-14,28
15,1,6,78,213,15,9130000,3480,999.0,0,0,-22,999
17,1,1,75,219,63,9150000,7178,999.0,1,0,-5,999
18,1,2,83,14,74,11990004,1120,25.0,0,0,-3,9
19,1,6,80,156,67,54040011,4069,25.0,0,0,-3,20
20,1,2,82,173,45,11990002,9829,25.0,0,1,-2,10
21,1,2,81,14,86,9150000,7178,999.0,0,0,-14,999
22,1,6,80,82,27,9990017,7080,18.0,0,1,-8,1
23,1,6,79,99,86,22090000,3360,65.0,0,0,-16,30
27,1,1,80,55,74,22990002,2957,12.0,0,0,-4,2
32,1,2,83,13,100,9150000,7186,999.0,0,0,-50,999
33,1,1,79,55,3,25020000,1,999.0,0,0,-36,999
34,1,2,78,99,15,11180000,1250,40.0,0,0,-23,7
35,1,6,84,89,71,13160014,10095,8.0,0,0,-5,2
36,1,1,82,125,53,11180000,1100,32.0,1,0,-9,7
37,1,1,78,55,26,11200000,2623,60.0,0,0,-14,31
38,1,1,78,147,73,12130000,980,80.0,0,0,-13,52
39,1,6,78,176,99,9150000,7143,40.0,0,1,-19,11
40,1,1,78,156,23,12120000,9681,75.0,0,0,-1,40
42,1,6,81,35,53,11190000,1259,38.0,1,0,-6,13
44,1,1,77,198,3,12130000,980,999.0,0,0,-12,999
45,1,6,79,114,71,13990013,6448,25.0,0,1,-20,2
46,1,6,80,240,71,9150000,7143,50.0,0,1,-16,22
48,1,2,78,19,26,35990112,9402,15.0,0,1,-9,4
50,1,6,77,17,53,54040011,4199,25.0,0,0,-9,13
52,1,1,79,99,26,9130000,3482,999.0,0,0,-15,999
56,1,2,77,172,99,22090000,3382,999.0,0,0,-27,999
58,1,2,79,14,9,50990041,9639,25.0,0,0,-2,20
59,1,2,77,99,25,11180000,1100,999.0,0,0,-14,999
60,1,6,75,19,11,54040011,4195,15.0,0,0,-4,9
61,1,2,73,199,71,11990003,1382,25.0,0,0,-2,11
62,1,1,82,126,74,11180000,9603,999.0,0,0,-18,999
63,1,6,77,20,67,24110000,10976,999.0,0,0,-6,999
64,1,6,71,94,15,36140000,5874,70.0,0,0,-6,38
65,1,2,77,219,45,36010001,5764,8.0,0,0,-1,3
66,1,1,77,25,23,11990001,9767,15.0,0,0,-6,1
68,1,6,82,105,74,36010001,5846,7.0,0,0,0,4
69,1,1,78,68,71,37040001,7527,25.0,0,0,-10,12
70,1,1,77,55,65,9150000,7143,999.0,0,0,-2,999
71,1,6,81,99,71,36010001,5927,25.0,0,1,-2,10
72,1,1,75,183,12,35990014,7937,12.0,1,0,-2,8
73,1,6,76,55,23,10100000,1552,50.0,0,0,-3,17
75,1,1,77,55,30,13170000,472,60.0,1,0,-4,34
77,1,1,87,213,100,11190000,1264,50.0,1,0,-14,24
78,1,6,74,99,71,73990000,4339,45.0,0,1,-3,19
79,1,6,76,219,63,36140000,5820,75.0,0,1,-9,45
80,1,6,77,219,100,11990002,10017,30.0,0,0,-1,14
81,1,1,80,99,9,9150000,7178,999.0,0,0,-15,999
82,1,1,79,55,40,11180000,1553,999.0,1,0,-19,999
84,1,1,76,55,26,11180000,1100,999.0,0,0,32,999
