,Current Facility,Parole Review Status,Last Parole Decision
2,92,0,0
3,71,0,0
5,9,0,0
6,86,1,0
8,26,0,0
12,0,0,0
13,71,1,0
14,54,0,0
15,15,0,0
17,63,0,1
18,74,0,0
19,67,0,0
20,45,1,0
21,86,0,0
22,27,1,0
23,86,0,0
27,74,0,0
32,100,0,0
33,3,0,0
34,15,0,0
35,71,0,0
36,53,0,1
37,26,0,0
38,73,0,0
39,99,1,0
40,23,0,0
42,53,0,1
44,3,0,0
45,71,1,0
46,71,1,0
48,26,1,0
50,53,0,0
52,26,0,0
56,99,0,0
58,9,0,0
59,25,0,0
60,11,0,0
61,71,0,0
62,74,0,0
63,67,0,0
64,15,0,0
65,45,0,0
66,23,0,0
68,74,0,0
69,71,0,0
70,65,0,0
71,71,1,0
72,12,0,1
73,23,0,0
75,30,0,1
77,100,0,1
78,71,1,0
79,63,1,0
80,100,0,0
81,9,0,0
82,40,0,1
84,26,0,0
87,26,0,0
88,99,0,0
92,26,0,0
93,25,0,1
95,49,0,0
97,9,0,1
98,25,0,0
99,0,0,0
103,100,0,1
104,25,0,0
106,3,1,0
107,74,0,0
109,26,0,0
110,63,0,0
111,23,0,1
113,85,0,0
114,86,0,0
115,26,1,0
117,21,0,1
118,15,1,0
119,86,0,0
121,54,0,0
122,92,0,0
123,73,0,0
124,24,0,1
125,24,1,0
126,15,0,0
127,49,0,0
128,30,0,0
132,26,0,0
135,49,0,1
136,12,1,0
138,54,0,0
143,47,0,1
146,13,0,1
147,9,0,0
151,65,0,0
153,86,0,0
154,92,0,0
156,49,0,0
157,73,0,0
158,71,0,1
159,54,0,1
160,9,0,0
161,12,0,1
162,23,0,0
164,54,0,0
165,71,0,0
167,71,0,0
168,49,0,0
169,54,0,0
170,65,0,1
172,25,0,0
173,95,1,0
174,45,0,1
175,23,0,0
176,40,0,1
177,71,0,1
178,53,0,1
179,26,0,0
182,30,0,1
184,26,0,0
186,99,0,0
189,9,0,0
191,71,1,0
193,88,1,0
195,23,1,0
196,26,0,1
198,49,0,1
199,49,0,0
200,71,0,0
202,9,0,0
203,60,0,1
204,61,0,1
205,12,0,1
206,13,0,0
207,40,0,1
208,63,0,0
209,45,0,0
210,26,0,0
212,4,0,0
214,12,0,0
215,21,1,0
216,53,0,0
218,84,0,0
219,73,1,0
221,15,0,0
222,23,0,1
225,74,1,0
227,26,0,0
228,77,0,0
230,23,1,0
233,53,1,0
236,82,0,0
237,26,0,0
238,71,0,1
241,30,0,0
243,1,1,0
245,88,0,0
248,12,0,0
249,9,0,0
250,84,0,0
252,71,0,1
253,15,0,0
254,75,1,0
262,74,0,0
263,37,0,1
267,26,0,0
270,12,0,0
271,71,1,0
273,84,0,0
274,0,0,0
275,71,1,0
276,86,0,1
277,45,1,1
278,23,0,0
280,64,1,0
282,93,0,0
284,26,0,0
285,75,0,0
287,3,0,0
288,3,0,0
290,87,0,0
291,12,0,0
295,16,1,0
296,53,0,1
298,13,1,0
300,26,0,0
301,86,0,0
302,93,0,0
304,53,0,1
307,15,0,0
308,15,0,0
309,74,0,0
311,9,0,0
312,59,0,0
315,49,0,0
316,93,1,0
318,9,0,1
321,26,0,0
324,9,0,0
325,45,0,1
327,65,0,0
330,86,0,0
331,40,0,1
333,53,0,1
336,15,0,0
338,43,0,0
339,0,0,0
341,67,0,0
342,26,0,0
344,71,1,0
345,99,0,0
346,23,1,0
347,12,0,1
350,53,0,0
351,71,1,0
352,27,0,0
354,26,1,0
355,23,0,0
356,3,0,0
357,86,0,0
358,54,1,0
360,93,0,0
362,26,0,1
363,54,1,0
364,30,0,0
365,71,0,0
366,87,1,0
368,0,0,0
369,84,0,0
371,53,0,1
372,92,0,0
373,9,0,0
376,49,0,0
377,100,0,0
379,7,0,1
380,84,0,0
381,24,0,1
385,26,0,1
386,93,0,0
387,63,0,1
388,53,1,0
389,93,0,0
391,2,0,1
393,27,0,1
395,23,1,0
397,26,0,0
399,74,0,0
400,16,0,0
402,0,1,0
403,99,1,0
405,83,0,0
406,70,0,0
407,35,0,1
408,71,1,0
409,97,0,0
412,49,0,0
414,99,0,0
415,99,0,0
416,92,0,0
419,26,0,0
420,43,0,0
421,9,1,0
422,0,0,0
423,71,1,0
424,0,1,0
426,23,1,0
427,71,0,0
429,65,0,0
431,100,0,0
433,12,0,0
434,92,0,0
435,84,0,0
436,26,0,1
437,9,0,1
439,71,1,0
444,73,0,0
