,Offense Code,Last Parole Decision,Parole Review Status
2,11220000,0,0
3,9150000,0,0
5,11990003,0,0
6,9130000,0,1
8,36120005,0,0
12,9130000,0,0
13,9990019,0,1
14,36140000,0,0
15,9130000,0,0
17,9150000,1,0
18,11990004,0,0
19,54040011,0,0
20,11990002,0,1
21,9150000,0,0
22,9990017,0,1
23,22090000,0,0
27,22990002,0,0
32,9150000,0,0
33,25020000,0,0
34,11180000,0,0
35,13160014,0,0
36,11180000,1,0
37,11200000,0,0
38,12130000,0,0
39,9150000,0,1
40,12120000,0,0
42,11190000,1,0
44,12130000,0,0
45,13990013,0,1
46,9150000,0,1
48,35990112,0,1
50,54040011,0,0
52,9130000,0,0
56,22090000,0,0
58,50990041,0,0
59,11180000,0,0
60,54040011,0,0
61,11990003,0,0
62,11180000,0,0
63,24110000,0,0
64,36140000,0,0
65,36010001,0,0
66,11990001,0,0
68,36010001,0,0
69,37040001,0,0
70,9150000,0,0
71,36010001,0,1
72,35990014,1,0
73,10100000,0,0
75,13170000,1,0
77,11190000,1,0
78,73990000,0,1
79,36140000,0,1
80,11990002,0,0
81,9150000,0,0
82,11180000,1,0
84,11180000,0,0
87,9130000,0,0
88,22090000,0,0
92,9150000,0,0
93,11180000,1,0
95,11990003,0,0
97,35990002,1,0
98,12120000,0,0
99,11200000,0,0
103,12130000,1,0
104,9150000,0,0
106,12120000,0,1
107,11990004,0,0
109,9150000,0,0
110,11190000,0,0
111,11180000,1,0
113,36010001,0,0
114,11180000,0,0
115,9150000,0,1
117,73990677,1,0
118,12120000,0,1
119,11990004,0,0
121,36990007,0,0
122,12130000,0,0
123,11190000,0,0
124,54040011,1,0
125,54040011,0,1
126,11180000,0,0
127,22090000,0,0
128,9990003,0,0
132,35990015,0,0
135,12120000,1,0
136,9150000,0,1
138,24110000,0,0
143,12130000,1,0
146,22090000,1,0
147,22990002,0,0
151,13170000,0,0
153,12120000,0,0
154,22100000,0,0
156,12990001,0,0
157,9150000,0,0
158,11990004,1,0
159,12120000,1,0
160,12130000,0,0
161,9140000,1,0
162,11180000,0,0
164,52030000,0,0
165,9150000,0,0
167,12120000,0,0
168,9150000,0,0
169,12990002,0,0
170,11190000,1,0
172,11990004,0,0
173,9150000,0,1
174,11990004,1,0
175,54040011,0,0
176,11180000,1,0
177,13000036,1,0
178,11190000,1,0
179,36990007,0,0
182,11190000,1,0
184,25040000,0,0
186,11990004,0,0
189,11180000,0,0
191,13170000,0,1
193,11180000,0,1
195,13150005,0,1
196,54040011,1,0
198,12120000,1,0
199,9990009,0,0
200,9130000,0,0
202,9150000,0,0
203,23990196,1,0
204,13150005,1,0
205,11990004,1,0
206,9150000,0,0
207,11220000,1,0
208,12120000,0,0
209,9150000,0,0
210,11990004,0,0
212,11180000,0,0
214,9150000,0,0
215,10100000,0,1
216,11990004,0,0
218,9150000,0,0
219,35990005,0,1
221,11190000,0,0
222,35990014,1,0
225,54040011,0,1
227,54040011,0,0
228,9140000,0,0
230,11990004,0,1
233,36010001,0,1
236,54040011,0,0
237,9990001,0,0
238,13150005,1,0
241,35990004,0,0
243,9990019,0,1
245,12120000,0,0
248,9130000,0,0
249,9150000,0,0
250,22090000,0,0
252,12130000,1,0
253,9130000,0,0
254,9180000,0,1
262,11990004,0,0
263,54040011,1,0
267,11190000,0,0
270,13990025,0,0
271,12120000,0,1
273,12130000,0,0
274,24110000,0,0
275,36990007,0,1
276,11180000,1,0
277,36010001,1,1
278,9990019,0,0
280,54040011,0,1
282,10100000,0,0
284,10100000,0,0
285,12120000,0,0
287,11190000,0,0
288,12990001,0,0
290,36010001,0,0
291,12120000,0,0
295,49010000,0,1
296,36140000,1,0
298,36140000,0,1
300,11180000,0,0
301,9150000,0,0
302,35410000,0,0
304,11990003,1,0
307,12130000,0,0
308,36990023,0,0
309,11180000,0,0
311,35310000,0,0
312,11990001,0,0
315,9150000,0,0
316,9150000,0,1
318,54040011,1,0
321,12120000,0,0
324,48010013,0,0
325,54040011,1,0
327,24110000,0,0
330,22090000,0,0
331,52030013,1,0
333,11990004,1,0
336,11190000,0,0
338,22990002,0,0
339,11990004,0,0
341,54040011,0,0
342,9150000,0,0
344,11180000,0,1
345,35990003,0,0
346,48010020,0,1
347,11220000,1,0
350,12990001,0,0
351,54040011,0,1
352,36140000,0,0
354,54040011,0,1
355,54040011,0,0
356,9150000,0,0
357,12130000,0,0
358,11180000,0,1
360,13170000,0,0
362,36010001,1,0
363,12130000,0,1
364,12120000,0,0
365,13150005,0,0
366,11220000,0,1
368,22990002,0,0
369,12120000,0,0
371,11220000,1,0
372,35410000,0,0
373,11180000,0,0
376,9150000,0,0
377,11180000,0,0
379,35990015,1,0
380,12130000,0,0
381,54040011,1,0
385,13150005,1,0
386,9130000,0,0
387,35990016,1,0
388,22080000,0,1
389,12120000,0,0
391,35990015,1,0
393,35320000,1,0
395,35990015,0,1
397,13150005,0,0
399,12990002,0,0
400,12130000,0,0
402,48040003,0,1
403,9150000,0,1
405,9150000,0,0
406,36010001,0,0
407,11180000,1,0
408,54040011,0,1
409,35110000,0,0
412,11990002,0,0
414,9150000,0,0
415,9990001,0,0
416,11990004,0,0
419,22090000,0,0
420,13150005,0,0
421,9140000,0,1
422,9150000,0,0
423,54040011,0,1
424,9150000,0,1
426,12990002,0,1
427,22110000,0,0
429,36990013,0,0
431,35410000,0,0
433,9150000,0,0
434,9160000,0,0
435,70990065,0,0
436,36010005,1,0
437,35990014,1,0
439,35990003,0,1
444,35120000,0,0
446,13150005,0,0
448,35990003,1,0
449,9170000,0,0
450,9150000,0,0
453,36120000,0,0
454,70990065,0,0
459,11190000,1,0
460,9150000,0,0
462,11220000,0,0
466,49990002,0,0
468,9150000,0,0
470,13160017,1,0
474,13150004,0,0
475,22120000,1,0
476,11180000,0,0
478,13150005,0,0
483,9150000,0,1
484,11180000,0,0
486,12990002,0,0
487,12130000,1,0
490,22140000,0,1
491,9990001,0,0
494,36010001,0,0
496,12130000,0,0
498,22990002,0,0
500,23990196,0,0
502,37040001,0,0
504,9990030,0,0
505,48040003,0,0
506,9130000,0,0
508,36990007,1,0
509,54040011,0,1
510,9150000,0,0
512,26990120,0,0
513,11990004,0,0
514,9150000,0,0
518,22990002,1,0
522,11180000,0,1
523,36990007,0,0
524,11990001,0,0
526,35990003,0,1
527,54040011,0,0
528,36990007,0,0
530,9150000,0,0
531,22100000,0,0
532,10990001,0,0
534,9130000,0,0
535,13150007,0,0
